Date,Open,High,Low,Close
09/15/2022,"36.8854","37.0962","36.6857","36.7445"
09/16/2022,"36.7482","36.9845","36.5498","36.9072"
09/19/2022,"36.9145","37.0553","36.4715","37.0443"
09/20/2022,"37.0406","37.1890","36.7782","36.8410"
09/21/2022,"36.8447","36.9444","36.1702","36.2475"
09/22/2022,"36.2549","36.8064","36.1480","36.3385"
09/23/2022,"36.3533","36.5073","35.6248","35.7132"
09/26/2022,"35.7169","36.2314","35.1128","35.3186"
09/27/2022,"35.3076","35.7366","35.2231","35.3595"
09/28/2022,"35.3521","35.9380","35.1973","35.8827"
09/29/2022,"35.8754","36.1702","35.2214","36.1665"
09/30/2022,"36.1702","36.2794","35.7466","36.2277"
10/03/2022,"36.2203","36.3422","35.8589","36.1051"
10/04/2022,"36.1088","36.8519","35.9409","36.7966"
10/05/2022,"36.8040","36.8187","36.3422","36.6295"
10/06/2022,"36.6147","36.7777","36.2664","36.2813"
10/07/2022,"36.2775","36.5293","35.9287","35.9875"
10/10/2022,"35.9838","36.2797","35.7880","35.8619"
10/11/2022,"35.8545","36.1205","35.6579","35.8656"
10/12/2022,"35.8693","36.0708","35.7251","35.8582"
10/13/2022,"35.8545","36.2388","35.5511","36.1353"
10/14/2022,"36.1242","36.2388","35.8766","35.9210"
10/17/2022,"35.9210","36.3102","35.8258","36.2697"
10/18/2022,"36.2733","36.4900","35.9995","36.4309"
10/19/2022,"36.4346","36.4789","36.0043","36.1168"
10/20/2022,"36.1094","36.4572","36.0577","36.1649"
10/21/2022,"36.1612","36.3691","35.7648","36.3470"
10/24/2022,"36.3397","36.5380","36.0105","36.3949"
10/25/2022,"36.3913","36.8669","36.2153","36.8373"
10/26/2022,"36.8300","37.2844","36.6455","37.2623"
10/27/2022,"37.2660","37.3029","36.6934","36.7229"
10/28/2022,"36.7155","37.0219","36.5902","36.7340"
10/31/2022,"36.7229","36.8592","36.3802","36.4244"
11/01/2022,"36.4171","36.8481","36.3839","36.4826"
11/02/2022,"36.4974","36.7634","36.1591","36.1775"
11/03/2022,"36.1738","36.6224","35.9012","35.9343"
11/04/2022,"35.9269","36.7340","35.9048","36.6971"
11/07/2022,"36.7892","36.8768","36.0801","36.8291"
11/08/2022,"36.8364","37.2093","36.6894","37.1209"
11/09/2022,"37.1283","37.2623","36.8095","36.9999"
11/10/2022,"36.9925","37.7722","36.6345","37.7278"
11/11/2022,"37.7241","38.2153","37.1623","38.1601"
11/14/2022,"38.2227","38.2227","37.8874","38.0606"
11/15/2022,"38.0532","38.7292","37.8837","38.1379"
11/16/2022,"38.1343","38.8686","38.0716","38.3038"
11/17/2022,"38.3075","38.6379","38.0163","38.2969"
11/18/2022,"38.2932","38.4561","38.1121","38.1454"
11/21/2022,"38.2267","38.2267","37.6412","37.8387"
11/22/2022,"37.8424","38.0936","37.6633","38.0715"
11/23/2022,"38.0752","38.4484","37.9573","38.4077"
11/24/2022,"38.4151","38.5333","38.1179","38.4742"
11/25/2022,"38.4631","38.6006","38.2599","38.4299"
11/28/2022,"38.4816","38.9128","38.1712","38.2045"
11/29/2022,"38.2082","38.6193","38.0712","38.1638"
11/30/2022,"38.1675","38.5370","38.0271","38.4558"
12/01/2022,"38.4521","38.7033","38.1998","38.6849"
12/02/2022,"38.6776","38.8602","38.4291","38.8492"
12/05/2022,"38.8307","39.1541","38.6849","38.7772"
12/06/2022,"38.7698","38.9859","38.6151","38.6664"
12/07/2022,"38.6701","38.9841","38.6109","38.8142"
12/08/2022,"38.8326","39.0359","38.5857","38.9989"
12/09/2022,"39.0026","39.1172","38.6151","38.7143"
12/12/2022,"38.7584","39.0987","38.6114","38.9435"
12/13/2022,"38.9398","39.3499","38.7254","39.1808"
12/14/2022,"39.1845","39.4130","38.9130","39.3651"
12/15/2022,"39.3687","39.5567","39.0267","39.1587"
12/16/2022,"39.1476","39.2950","38.2193","39.0150"
12/19/2022,"39.0592","39.3499","39.0592","39.1911"
12/20/2022,"39.1984","39.3536","39.0371","39.1513"
12/21/2022,"39.1550","39.3426","39.1071","39.1911"
12/22/2022,"39.1874","39.4750","39.0691","39.1652"
12/23/2022,"39.1615","39.4738","39.1034","39.2243"
12/26/2022,"39.4238","39.4238","39.0635","39.3019"
